Num;Old_Num;MOTS_AR;MOTS_fr;DESIGNATION;DESIGNATION_fr;chairdappartenance;Sous_Chapitre
11;11;احتياط التسيير;La réserve de fonctionnement;هو احتياط  يوجه إلى تجديد الوحدات وتعزيزها بوسائل الاستعمال و وسائل التدريب والتحضير للقتال وكذا بالمؤن.;Réserve destinée au renouvellement et au renforcement des unités en moyens de servitude, d’instruction et de préparation au combat ainsi qu’en approvisionnement.;لوجيستيك;20
12;12;احتياط التعبئة;La Réserve de Mobilisation;هو احتياط يوجه إلى تلبية الإحتياجات المترتبة على مخططات التعبئة.;Réserve destinée à satisfaire les besoins induits par les plans de mobilisation.;لوجيستيك;20
13;13;احتياط الحرب;La réserve de guerre;يوجه احتياط الحرب إلى تعزيز القدرات وتجديدها في حالة أزمة أو حرب.;La réserve de guerre est destinée au renforcement et au renouvellement des potentiels en cas de crise ou de guerre.;لوجيستيك;20
14;14;الاحتياط العام;La réserve générale;"يتضمن الاحتياط العام كل الموارد المكتسبة حديثا و كذا تلك المتأتية من التجديد أو إعادة الإدماج، بعد السحب من الاستعمال، إثر حل أو تحويل جهاز أو تشكيلة، والموجهة للتخصيص: - بعنوان إحصاصات أولية لوحدات الجيش الوطني الشعبي؛ -لمختلف أنواع الإحتياطات؛ -بعنوان التخصيص الخاص.";"La réserve générale comprend toutes les nouvelles acquisitions ainsi que celles provenant de la rénovation ou de la réintégration après le retrait d’emploi suite à la dissolution ou reconversion d’organe ou de formation.  Et qui sont destinées à être affectées à : 
-Au titre des dotations initiales des unités de l’ANP ; 
-Aux différents types de réserves ; 
-Au titre des affectations spéciales.";لوجيستيك;20
15;15;احتياط القوات المسلحة من الأفراد;Réserve des forces armées en personnel;هم الأفراد العسكريون بين سن 19 و50 سنة سواء المتواجدون في صفوف الجيش لأداء واجب الخدمة الوطنية أو الذين أدوا واجبهم وكذلك الأفراد العاملون والمتعاقدون المسرحون من الخدمة في الجيش لأسباب مختلفة (إحالة على التقاعد، بطلب منهم، لعدم تأهيلهم الصحي بنسبة أقل من 50%) يسجل الأفراد من الفئات المذكورة في قوائم الاحتياط لفترة محددة وفقا للنظام المعمول به في الدولة، يستخدم الاحتياط خلال التعبئة لاستكمال القوات المسلحة، يستدعى أفراد الاحتياط دوريا للتمرن، التدريب والتفقد.;Personnel militaire dont l’âge varie entre 19 et 50 ans qu’ils soient dans les rangs de l’armée accomplissant le devoir du service national ou ceux l’ayant déjà accompli, ainsi que le personnel de l’active et les contractuels, libérés des rangs de l’armée pour diverses raisons (mise à la retraite, sur leur demande, et  leur inaptitude médicale à un taux inférieur à 50 %). Les personnels des catégories suscitées sont inscrits sur les listes de la réserve pour une durée déterminée et ce, conformément à la réglementation en vigueur. La réserve est employée durant la mobilisation pour le recompletement des forces armées. Les personnels de la réserve sont périodiquement rappelés afin de s’exercer, s’entrainer et subir des contrôles.;لوجيستيك;20
16;16;الاحتياط الوزاري;La réserve ministérielle;"الاحتياط الوزاري للجيش الوطني الشعبي يشمل مخزونات العتاد والتجهيزات والمؤن، التي تدعى  ب ""الموارد""، وتتشكل وترتب على مستويات كمية محددة، تخزن وتسير هذه الموارد على مستوى:
-الاحتياط العام.
-احتياط الحرب.
-احتياط التعبئة.
-احتياط الأخطار الكبرى.
-احتياط التسيير.";"La réserve ministérielle de l’ANP regroupe l’ensemble des stocks de matériels, équipements et approvisionnements désignés, ci-après « les ressources », constitués et alignés à des niveaux quantitatifs déterminés.  
Les ressources de la réserve ministérielle sont stockées et gérées au niveau :
-	De la réserve générale ;
-	De la réserve de guerre ;
-	 De la réserve de mobilisation ;
-	 De la réserve des risques majeurs ;
-	De la réserve de fonctionnement.";لوجيستيك;20
17;17;احتياطات الدولة;Réserves de l'Etat;"هي احتياطات خاصة من الوسائل المادية، مخصصة للاستعمال حسب الأهداف والنظام المحددين في القانون الخاص""باحتياطات الدولة"". يدخل في تكوين احتياط الدولة كل الاحتياطات من القيم المادية الموجهة لأغراض التعبئة والاحتياطات من المواد والسلع الإستراتيجية ومن القيم المادية لتأمين الأعمال ذات الأسبقية عند القيام بإزالة آثار الكوارث الطبيعية أو الصناعية.";Réserves spéciales de valeurs matérielles, destinées pour l’emploi conformément aux objectifs et à la réglementation définis par la loi spécifique aux « réserves de l’Etat ». Est considérée comme réserve de l’Etat toute réserve destinée à la mobilisation et les réserves en produits et denrées stratégiques ainsi que les réserves en valeurs matérielles destinées au soutien des actions prioritaires lors de l’élimination des effets des catastrophes naturelles ou industrielles.;لوجيستيك;20
18;18;الاحتياطات اللوجستية الاستراتيجية;Réserves logistiques  stratégiques;كمية من مختلف الوسائل المادية والعتاد والأسلحة وغيرها من الوسائل المادية الأخرى، تحفظ وتخزن على مستوى المستودعات والمخازن المركزية التابعة للقيادة العليا للقوات المسلحة، بالإضافة إلى ذلك يخزن جزء منها على مستوى قواعد احتياط الدولة. تستهلك هذه الاحتياطات بتعليمات من القيادة العليا للقوات المسلحة. أما الاحتياط العملياتي فيحفظ على مستوى مستودعات ومخازن المؤخرات العملياتية  لمختلف القوات، النواحي  العسكرية، ومجموعات القوات ويقع مباشرة تحت مسؤولية قادته.;"Ensemble des moyens matériels, équipements, armements et autres moyens matériels conservés et stockés au niveau des entrepôts et des stocks centraux relevant du haut commandement des forces armées. En outre, une partie de ces réserves est stockée au niveau des bases des réserves de l’Etat. Ces réserves sont consommées conformément aux instructions du haut commandement.
 La réserve opérationnelle est conservée au niveau des entrepôts et stocks des arrières opérationnels des différentes forces, régions militaires et  groupements des forces, elle relève directement des commandements de rattachement.";لوجيستيك;20
20;19;ادارة الازمة;La Gestion de crise;هي كافة الوسائل  والإجراءات والأنشطة التي تنفذها الدولة أو الجهة أو المنظمة بصفة مستمرة في مراحل ما قبل الأزمة وأثناءها وبعد وقوعها بهدف منع وقوع الأزمة كلما أمكن ومواجهتها بكفاءة عالية  بما يؤدي إلى تقليل الخسائر  وتخفيض الآثار السلبية وإزالة الآثار النفسية.;C’est l’ensemble des moyens, des procédures et des activités accomplis par l'Etat , le parti ou l'organisation sur une base continue lors des étapes qui précèdent la crise, pendant et après la crise dans le but de l'éviter à chaque fois que possible et de répondre de manière efficace afin de minimiser les pertes, réduire les effets négatifs et éliminer les effets psychologiques.;إستراتيجية;20
21;20;أرجحة القوات;Balancement des forces;"عنصر الحركية الاستراتيجية، تستعمل من خلاله وسائل النقل بمختلف أنواعه لإيصال القوات إلى منطقة معينة في الوقت المحدد وفي جاهزية قتالية تامة لتنفيذ مهام محددة. الغرض منه: - التصدي لأعمال العدو؛ - تضليل العدو وخلق المفاجأة؛ - ضمان التفوق وخلق الظروف الملائمة لزج القوات؛ - ردع العدو بغرض التأثير على سياسته تجاه قضية معينة.";"Volet  de la mobilité stratégique utilisant les moyens de transport sous leurs différentes formes pour le transfert des troupes vers une zone déterminée en temps opportun et avec une disponibilité de combat optimale, afin  d’exécuter les missions qui leurs sont assignées, et ayant pour objectifs : - contre carrer les actions de l'ennemi, le leurrer  et créer l’effet de surprise; - assurer la supériorité et créer les conditions favorables pour l’engagement des forces; - dissuader l'ennemi dans le but d’influencer sa politique sur une question particulière.";إستراتيجية;20
22;21;الإرهاب;Terrorisme;الإرهاب هو كل فعل من أفعال العنف أو التهديد به أيا كانت بواعثه وأغراضه، يقع تنفيذا لمشروع إجرامي فردي او جماعي، ويهدف إلى إلقاء الرعب بين الناس أو ترويعهم بإيذائهم أو تعريض حياتهم أوأمنهم للخطر، أو إلحاق الضرر بالبيئة أو بأحد المرافق أو الأملاك العامة أو الخاصة، أو تعريض أحد الموارد الوطنية للخطر.;Le terrorisme est tout acte ayant recours à l’usage de la violence ou de la menace, et ce quelque soit son origine et ses objectifs, qui se manifeste selon un projet individuel ou collectif, ayant pour but de semer la terreur ou la panique au sein de la population, susceptible d’engendrer des pertes en vies humaines ou  causer des dommages à l’environnement, ou aux infrastructures, biens publics ou particuliers, ou exposer l’une des ressources nationales au danger.;إستراتيجية;20
23;22;الإرهاب السبيراني;Cyber-terrorisme;تقارب بين وسائل الفضاء الافتراضي و غاية العمل الإرهابي. الهدف منه تدمير و إفساد المنظومات المعلوماتية قصد زعزعة الدول و/أو إحداث ضغوطات عليهم باستعمال مناهج الجريمة المعلوماتية. إن الإرهاب المعلوماتي  يوظف الشعور بالخوف لجلب الأنظار حول الأعمال المنجزة في الفضاء الافتراضي.;Convergence entre les moyens du cyberespace et la finalité du terrorisme. L’objectif est de détruire et de corrompre les systèmes d’information afin de déstabiliser les Etats et/ou faire pression sur eux avec des méthodes relevant de la criminalité informatique. A l’instar du terrorisme, les cyber-terroristes instrumentalisent le sentiment de peur en attirant l’intérêt et l’attention sur les actions menées dans le cyberespace.;إشارة و حرب إلكترونية;20
24;23;الأزمة;La crise;"هي مرحلة تتميز بتوتر العلاقات بين الدول وبالمواجهات مع احتمال تطورها وتحولها لحرب أو نزاع مسلح.
كما أنها تعتبر حادثا يتطور بشكل سريع، يمكن أن يمثل تهديدا محتملا على السلم  والأمن بين دولتين أو أكثر ويستلزم ضرورة اتخاذ إجراءات سياسية، دبلوماسية أو عسكرية عاجلة بغرض تسويته.
أهم ما يميز الأزمة هو تحرك أطرافها(أو إحداها) لتهديد المصالح الحيوية الوطنية للطرف الثاني وكذا استخدام القوة العسكرية كوسيلة للضغط السياسي في حالة عدم امتثال الخصم.
من خصوصيات الأزمة نذكر:   
• زيادة حدة التوتر في العلاقات بين الدول؛
• زيادة عدد التهديدات الخارجية ومستوياتها؛
•التقلبات الحادة والسريعة للموقف.
• تعقد الموقف السياسي العسكري وصعوبة تحديد طبيعة تطور موقف السياسة الخارجية؛
• التضارب في المعلومات الواردة؛
• صعوبة التنبؤ بالتحركات المحتملة للخصم؛
• صعوبة المراقبة والتحكم في تطور الأحداث مع ضرورة اتخاذ قرارات سياسية وعسكرية عاجلة.";"Phase caractérisée par des relations tendues entre les États et par des affrontements pouvant se développer et se transformer en guerre ou conflit armé.
La crise est aussi considérée comme un  incident qui évolue rapidement, pouvant représenter une menace potentielle pour la paix et la sécurité entre deux ou plusieurs Etats, et dont la résolution nécessite la prise de mesures politiques, diplomatiques ou militaires urgentes.
La caractéristique la plus importante de la crise est l'agissement des antagonistes (ou l’un d’entre eux) susceptible de menacer leurs intérêts vitaux, ainsi que le recours à la force militaire comme moyen de pression politique au cas où la partie adverse refuse d’abdiquer.
Parmi les caractéristiques de la crise : 
- Aggravation des tensions dans les relations entre États ;
- Aggravation du nombre et du niveau des menaces externes ;
- Complexité de la situation politique et militaire et la difficulté de définir la nature de l'évolution de la situation en matière de politique étrangère ;
- Incohérences dans les informations recueillies ;
- Difficulté de prévoir les actions probables de l'adversaire ;
- Difficulté de contrôler et de maitriser l'évolution des événements avec la nécessité de prendre des décisions politiques et militaires urgentes.";إستراتيجية;20
25;24;الأزمة الأمنية;La crise sécuritaire;"هي أشد الأزمات خطورة تتسم بخصائص فريدة، تجعلها ذات طبيعة خاصة تميزها عن غيرها من الأزمات ولعل من أهمها ما يلي:
- التشابك والتداخل؛
- الاستفحال؛
- التجاوز والتعدي؛
- صعوبة السيطرة؛
- عدم الوضوح؛
- التسويف والمماطلة؛
- التدمير والتخريب؛
- خطورة التبعات.";"C’est  la plus pertinente des crises en matière de danger, caractérisée par des spécificités uniques, la rendant  spéciale, par rapport aux autres types   de crises, et parmi les plus importantes:
- enchevêtrement et interférence;
- exacerbation;
- les dépassements et les agressions;
- Difficulté  de conduite;
- L’absence de clarté;
- La procrastination;
- Destruction et sabotage;
- La dangerosité des dépendances.";إستراتيجية;20
26;25;الأزمة الاجتماعية;La crise sociale;هذا النوع يكون داخليا فقط، تقوم به فئة معينة من جماعات الضغط داخل المجتمع، كالنقابات العمالية أو يكون نتيجة ظروف عامة تسود فئة معينة من فئات المجتمع يمكن أن تكون هذه الأزمات على شكل اضطرابات عامة، مثل سخط شعبي، مظاهرات سياسية، إضراب العمال  والتمرد، وفي حالة عدم السيطرة على هذه الاضطرابات العامة قد تتحول إلى صور أعنف مثل الثورة الشعبية أو الحرب الأهلية ويضاف إليها انتشار الجريمة المنظمة  والمواد المخدرة.;Ce type de crise est uniquement interne, elle se manifeste par une certaine catégorie de groupes de pression au sein de la communauté, tels que les syndicats ou par le résultat de conditions générales d’une certaine classe de la société. Ces crises  se reflètent sous forme de troubles généraux tels que le mécontentement de la population, la grève des travailleurs, les manifestations politiques, la rébellion et  en cas d'absence de contrôle sur cette agitation publique, elle pourrait se transformer en actes virulents, tels que la révolution populaire ou la guerre civile, en plus de la propagation de la criminalité organisée et les différents types de drogues.;إستراتيجية;20
27;26;الأزمة الاقتصادية;La crise économique;وهي الأزمات التي تنشأ نتيجة خلل أو عدم توازن في الهيكل البنائي للاقتصاد في الدولة، وتخلف البنية الهيكلية والأوضاع الإنتاجية، نقص الموارد،  الطاقات العاطلة وتزايد معدلات البطالة، انهيار عملة الدولة، أزمات الديون، الحصار الاقتصادي والانهيار الصناعي.;Crises survenant suite à une défection ou à un déséquilibre dans la structure de l'économie de l'état, engendrant un échec de la structure et des conditions de production, le manque de ressources, des capacités de veille et une augmentation du chômage, l'effondrement de la monnaie du pays, des crises dues à  la dette, le blocus économique et l'effondrement industriel.;إستراتيجية;20
28;27;الأزمة السياسية;La crise politique;هي الأزمة التي تنشأ بسبب تخلف أو قصور النظام السياسي بمفهومه الواسع(إداري – دستوري – سياسي – اجتماعي– ثقافي) والتي ينشأ عنها أزمة شرعية أو أزمة هوية.;C’est la crise qui résulte d’une défaillance ou d’un échec du système politique dans son sens le plus large (administratif - constitutionnel - politique - social - culturel) et qui donne lieu à une crise de légitimité ou à une crise d'identité.;إستراتيجية;20
29;28;الأزمة العسكرية;La crise militaire;يمكن أن تكون داخلية مثل محاولة القيام داخل الدولة بتغيير نظام الحكم أو تعديله وقد تكون الأزمة العسكرية خارجية مثل الحشود العسكرية على الحدود بين دولتين الأمر الذي ينتج عنه تصاعد حدة التوتر بينهما وقد يؤدي إلى الحرب.;elle peut être interne, comme une éventuelle tentative de changement  ou de modification    de régime à l’intérieur   de l'État, la crise militaire peut être extérieure comme des  regroupements  militaires à la frontière de deux Etats, qui engendrent une escalade qui  pourrait conduire à la guerre.;إستراتيجية;20
30;29;أساليب الأعمال الحربية (القتالية);Modes des actions de guerre   de combat ;هي نظام وطرق استخدام القوى والوسائل لتنفيذ المهام الإستراتيجية في الأعمال الحربية. تختار أساليب الأعمال الحربية من طرف القائد كقاعدة، تتضمن أساليب الأعمال الحربية: -تسلسل تدمير العدو مع الإشارة إلى النظام المختار لتدميره بكل أنواع الأسلحة. -التأثير الإعلامي على العدو واستخدام التشكيلات الكبرى والتشكيلات والوحدات والوحدات الفرعية التابعة مباشرة للقائد وفق أشكال الأعمال الحربية. -اتجاهات الضربات (في الهجوم) أو المناطق (الخطوط) التي تركز عليها المجهودات الرئيسية (في الدفاع). البناء العملياتي للقوات وطبيعة المناورة بها.;"C’est le mode et les procédés d’emploi des forces et moyens pour l’exécution des missions stratégiques dans les actions de guerre. En règle générale, le choix des procédés des actions de guerre revient à la décision du chef. Les procédés des actions de guerre comprennent: - Le processus (la succession) de destruction de l’ennemie avec le mode adopté pour sa destruction par l’utilisation tous les types d’armements. 
-L’impact médiatique exercé sur l’ennemi et l’emploi des grandes formations, formations, unités et unités élémentaires relevant directement du chef et ce, conformément aux formes des actions de guerre ; - Les directions des frappes (en offensive) ou les zones (des lignes) sur les quelles sont axés les efforts principaux (en défensive) ; - Le dispositif opérationnel des forces et la nature de leurs manœuvres.";إستراتيجية;20
31;30;أسباب الحرب;Les causes de la guerre;هي عوامل التطور الاجتماعي التي تساهم بشكل مباشر في اندلاع الحروب ومن بينها نذكر: الخلافات (بين الدول، بين الطبقات وبين القوميات) ذات الطابع السياسي، الاقتصادي، العرقي والديني والتي يمكن أن تؤدي في ظروف معينة إلى استخدام وسائل العنف لتسويتها، لكن هذه الأسباب في حد ذاتها لا تعتبر عاملا كافيا لبدء الحرب وبالتالي لا بد أن يتوفر عامل موضوعي يتمثل في إرادة قيادات الدول، الطبقات أو الأمم في تحقيق أهدافها السياسية باستخدام القوة.;Facteurs du développement social contribuant directement au déclenchement des guerres, parmi lesquels sont cités : les différends à caractère politique, économique, ethnique et religieux (entre États, classes sociales et ethnies), qui pourraient mener, dans certaines conditions, à l’emploi des moyens violents pour résoudre ces différends. Toutefois, ces causes à elles seules ne représentent pas un facteur suffisant pour déclencher une guerre, il doit y avoir un facteur objectif qui correspond à la volonté des dirigeants des États, classes ou Nations d’atteindre leurs objectifs politiques par l’usage de la force.;إستراتيجية;20
32;31;الاستباق الاستراتيجي;L’anticipation stratégique;"هو التحضير لمختلف الفرضيات حسب تسلسل درجة احتمال وقوعها، حيث يسمح بسبق الأحداث ومنع وقوعها مجددا أو التقليل من تأثيراتها.
ومن مهامه توسيع زاوية الرؤية لصناع القرار،  وتعزيز قدراتهم على اتخاذ القرارات السليمة، كما يساعد على التخطيط الاستراتيجي في ظل محيط داخلي وخارجي شديد التعقيد يحمل المفاجآت والكثير من التحديات.";"C’est la préparation pour les différentes hypothèses dans l'ordre de la probabilité et le degré d'occurrence, qui permet de devancer les événements et de les empêcher de nouveau ou d'atténuer leurs impacts.
Parmi ses missions, l’élargissement de la vision des décideurs, la consolidation de leurs capacités de prendre des décisions correctes, et d’aider à la planification  stratégique dans un contexte interne et externe  extrêmement complexe, porteur de surprises et de  beaucoup de défis.";إستراتيجية;20
